,Open,High,Low,Close,Volume
2011-07-31,394.04,399.856,390.716,395.36,21088080.0
2011-08-07,391.252,393.154,380.576,385.844,29006300.0
2011-08-14,368.546,374.424,361.894,368.32,31257280.0
2011-08-21,375.294,378.502,369.904,373.28200000000004,21633420.0
2011-08-28,366.906,375.346,363.69816000000003,372.704,23794580.0
2011-09-04,385.512,388.15198,381.724,383.974,15203160.0
2011-09-11,379.815,385.135,376.4525,381.3225,16439700.0
2011-09-18,386.404,390.69259999999997,384.568,389.464,18281780.0
2011-09-25,406.64,414.84799999999996,402.9889,408.668,26573920.0
2011-10-02,399.564,401.614,390.652,394.26599999999996,21955280.0
2011-10-09,374.38199999999995,381.356,365.6009,374.504,28837760.0
2011-10-16,400.162,406.334,397.594,404.344,19071720.0
2011-10-23,408.59000000000003,411.88314,402.938,405.806,27444440.0
2011-10-30,402.706,406.19,398.0662,402.756,15759840.0
2011-11-06,400.204,403.222,396.78000000000003,400.402,14201840.0
2011-11-13,396.546,398.96,390.866,394.216,18771000.0
2011-11-20,383.29402,386.092,378.46999999999997,381.04200000000003,14748320.0
2011-11-27,371.0875,374.15,366.7625,369.02,13750300.0
2011-12-04,380.37,384.09118,377.63199999999995,381.83000000000004,13531740.0
2011-12-11,392.046,394.304,389.5581,391.466,11563600.0
2011-12-18,387.014,388.914,382.422,384.15999999999997,12318300.0
2011-12-25,392.72200000000004,396.194,391.069,395.29699999999997,9338940.0
2012-01-01,404.225,407.3175,402.09,404.8225,7940875.0
2012-01-08,413.53,417.12,412.5425,416.275,10283975.0
2012-01-15,423.21404,423.98999999999995,419.91400000000004,421.744,9327960.0
2012-01-22,427.2,428.58225000000004,423.88,425.46500000000003,10673225.0
2012-01-29,438.98202000000003,441.05402000000004,434.49799999999993,437.2778,17397920.0
2012-02-05,454.582,457.66,452.71000000000004,456.096,10817620.0
2012-02-12,473.16999999999996,481.178,472.3184,479.21400000000006,17778880.0
2012-02-19,502.61199999999997,510.468,496.582,502.812,28314940.0
2012-02-26,513.5425,517.7674,510.3325,516.6725,18499975.0
2012-03-04,536.6479999999999,541.3059999999999,531.824,538.652,22964020.0
2012-03-11,536.9559999999999,541.936,528.1502,536.254,23951860.0
2012-03-18,573.7804,580.822,566.9399999999999,576.162,32158480.0
2012-03-25,599.778,604.924,592.4781999999999,600.99,24402140.0
2012-04-01,609.18,614.4,603.36,609.698,22840060.0
2012-04-08,620.115,627.875,615.8225,626.485,23635625.0
2012-04-15,630.274,635.3480000000001,619.73044,623.774,26127560.0
2012-04-22,598.864,607.9764,581.562,591.7180000000001,34975360.0
2012-04-29,593.639,596.646,584.05,590.5360000000001,27794620.0
2012-05-06,586.104,590.46398,577.712,579.832,17607680.0
2012-05-13,566.8720000000001,573.71956,562.7202,568.814,15505860.0
2012-05-20,551.4680000000001,555.7059999999999,540.538,543.5930000000001,20281220.0
2012-05-27,560.402,570.1139999999999,551.9123999999999,563.284,19540080.0
2012-06-03,572.5,577.035,565.9625,572.54,17166075.0
2012-06-10,567.886,573.1448,562.366,570.124,14813920.0
2012-06-17,575.788,578.344,568.904,573.03,14293240.0
2012-06-24,581.4100000000001,587.51,577.426,583.7402,12654160.0
2012-07-01,574.6600000000001,577.8059999999999,569.896,574.068,10630380.0
2012-07-08,596.815,604.0625,594.7075,601.9375,13795700.0
2012-07-15,606.516,610.418,599.8639999999999,606.08,15001100.0
2012-07-22,609.362,612.25,604.286,607.746,12013700.0
2012-07-29,586.202,592.5219999999999,579.634,587.952,19578500.0
2012-08-05,605.3050000000001,611.242,601.0699999999999,607.2180000000001,13593220.0
2012-08-12,619.202,623.4476000000001,617.38,621.1508,8955980.0
2012-08-19,631.554,637.512,630.104,635.394,11240280.0
2012-08-26,660.174,669.682,653.008,663.1868000000001,20349260.0
2012-09-02,673.6214600000001,674.9588,667.3832,670.6108,10987520.0
2012-09-09,673.1375,678.065,670.1675,675.4775,12724375.0
2012-09-16,675.947,681.154,667.452,673.476,20736060.0
2012-09-23,700.212,702.25,696.7163400000001,700.5172,14332620.0
2012-09-30,677.38,684.774,668.86,675.587,20459000.0
2012-10-07,666.924,671.042,657.3219999999999,662.308,18290000.0
2012-10-14,640.266,643.1220000000001,630.012,634.5488,21378880.0
2012-10-21,637.4399999999999,642.41,627.6940000000001,634.32922,18514440.0
2012-10-28,618.858,626.366,605.9300000000001,615.55068,24908300.0
2012-11-04,596.33,600.6366666666667,585.54,589.5533,17508033.333333332
2012-11-11,569.726,574.0319999999999,556.49,562.0564999999999,26312580.0
2012-11-18,540.258,544.3860000000001,527.91202,535.1812,25590900.0
2012-11-25,561.009925,569.705,553.415,564.96085,18856250.0
2012-12-02,583.9449999999999,589.774,578.8,586.3779999999999,18505660.0
